business_id,industry_type,annual_revenue,total_expenses,loan_amount,emi_amount,gst_compliance_status,current_ratio,quick_ratio,debt_equity_ratio,dscr,roce,financial_health_score,risk_category,ai_recommendation
SME_1,E-commerce,34999221,26355176,16798469,5141,Delayed,2.63,2.54,2.4,2.61,24.03,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_2,Logistics,28772916,38633146,2276787,2708,Non-Compliant,0.45,1.1,0.2,2.53,6.96,68.0,Medium Risk,Optimize working capital and control operational costs
SME_3,Services,26191717,42064130,7690840,18375,Non-Compliant,3.27,2.69,1.92,1.73,-7.34,68.0,Medium Risk,Optimize working capital and control operational costs
SME_4,Logistics,15252367,15009307,9338770,15088,Compliant,0.59,0.65,1.42,0.45,-9.94,0.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_5,Logistics,19532579,36276898,15342276,11834,Non-Compliant,1.21,0.68,3.39,0.54,10.93,21.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_6,Manufacturing,30854781,8178748,15200562,12278,Delayed,2.45,0.95,1.02,2.23,3.76,77.0,Low Risk,Eligible for growth investment or working capital loan
SME_7,Services,42430173,42054364,1274634,10014,Non-Compliant,0.84,0.53,1.0,1.84,29.89,95.0,Low Risk,Eligible for growth investment or working capital loan
SME_8,Services,17014877,2346830,2755063,3273,Compliant,0.48,0.84,0.93,2.63,20.9,88.0,Low Risk,Eligible for growth investment or working capital loan
SME_9,Services,39111293,33397728,1228807,14367,Non-Compliant,1.36,0.5,0.65,1.59,20.45,84.0,Low Risk,Eligible for growth investment or working capital loan
SME_10,Logistics,6936446,41193419,16286171,4538,Non-Compliant,2.75,2.5,1.47,3.47,28.21,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_11,E-commerce,38203319,10357168,12902884,12541,Compliant,1.62,0.59,4.0,4.33,25.51,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_12,Services,26872918,38614493,7601748,8712,Compliant,2.39,2.29,3.51,1.56,2.73,53.0,Medium Risk,Optimize working capital and control operational costs
SME_13,Agriculture,9557014,33280340,4463158,9168,Delayed,2.15,0.33,3.34,1.05,-3.36,11.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_14,Logistics,20946082,36559646,8803208,3551,Non-Compliant,0.37,2.86,3.61,0.67,19.84,48.0,Medium Risk,Optimize working capital and control operational costs
SME_15,Manufacturing,38666770,41878073,2269070,12297,Delayed,3.46,2.19,1.29,3.12,5.13,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_16,E-commerce,11742014,36183612,4413359,10965,Non-Compliant,0.43,0.22,4.0,2.27,8.93,21.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_17,Agriculture,18310471,11117207,7640167,2832,Non-Compliant,3.4,2.34,0.7,1.02,15.22,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_18,Agriculture,41136644,15940627,19608785,13422,Delayed,2.06,1.64,1.58,3.3,26.31,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_19,Manufacturing,11941374,16569764,7322153,152,Non-Compliant,3.38,2.38,2.68,0.83,6.76,74.0,Low Risk,Eligible for growth investment or working capital loan
SME_20,E-commerce,26206501,9784451,9837371,11156,Non-Compliant,0.67,1.66,0.55,2.82,21.33,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_21,Logistics,31555169,4588891,2519507,11108,Non-Compliant,1.87,1.99,3.31,2.68,0.73,57.0,Medium Risk,Optimize working capital and control operational costs
SME_22,Retail,3594235,9414653,13454789,2800,Compliant,0.84,2.4,1.8,3.7,17.92,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_23,E-commerce,48370026,14464147,18033931,5310,Delayed,0.46,1.33,3.55,0.37,-9.94,0.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_24,Manufacturing,26837283,21208635,8468865,9944,Compliant,2.28,0.21,2.27,4.45,24.86,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_25,Agriculture,23263342,38449943,18303750,2610,Delayed,0.96,2.58,0.9,3.54,-8.78,67.0,Medium Risk,Optimize working capital and control operational costs
SME_26,Logistics,20136869,33284400,17601359,12067,Delayed,2.18,1.27,3.33,1.16,18.51,67.0,Medium Risk,Optimize working capital and control operational costs
SME_27,E-commerce,27632021,2763999,16001900,1104,Non-Compliant,0.66,1.59,1.21,1.0,-8.15,12.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_28,Retail,34442384,43063528,14890609,10728,Delayed,1.36,0.22,2.26,2.22,0.65,35.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_29,Retail,27875197,5190691,371616,7263,Compliant,2.8,1.58,0.43,4.11,9.89,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_30,Services,18307333,28350196,18737371,1914,Compliant,1.7,2.96,2.82,4.23,6.8,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_31,Services,36412253,21403105,9163766,19456,Compliant,2.31,0.98,3.03,2.65,-2.33,49.0,Medium Risk,Optimize working capital and control operational costs
SME_32,Manufacturing,32716504,10252415,19487743,406,Delayed,2.37,1.31,1.77,4.32,3.35,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_33,E-commerce,42968174,17466318,18546183,13689,Compliant,3.0,2.12,4.3,0.13,19.11,63.0,Medium Risk,Optimize working capital and control operational costs
SME_34,E-commerce,16763882,43679777,14451300,166,Delayed,1.34,2.48,3.95,0.27,16.77,43.0,Medium Risk,Optimize working capital and control operational costs
SME_35,Agriculture,39638695,33721714,279215,508,Compliant,2.5,1.37,3.21,4.57,-7.13,73.0,Low Risk,Eligible for growth investment or working capital loan
SME_36,Agriculture,34299193,11586361,15748714,18045,Compliant,3.38,1.07,3.24,3.9,19.89,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_37,Agriculture,45414860,26656629,2843236,3664,Delayed,2.64,2.83,1.21,2.31,-7.88,75.0,Low Risk,Eligible for growth investment or working capital loan
SME_38,Services,17112651,32771979,12126467,19873,Compliant,1.87,2.1,2.99,3.79,11.72,99.0,Low Risk,Eligible for growth investment or working capital loan
SME_39,E-commerce,8886180,38398210,7379933,13050,Non-Compliant,2.32,0.53,0.97,4.78,0.4,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_40,E-commerce,48514453,28575911,1960584,680,Delayed,2.67,0.39,0.73,3.88,13.51,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_41,Retail,34118755,34214548,17355904,18908,Delayed,2.26,1.55,4.5,4.23,0.45,69.0,Medium Risk,Optimize working capital and control operational costs
SME_42,Services,15796274,6486368,15884862,18504,Delayed,0.35,0.82,2.84,3.83,29.4,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_43,Logistics,33186304,28607970,4226156,4357,Non-Compliant,0.92,0.91,2.0,0.92,2.39,21.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_44,Services,8540979,44961177,16567828,1363,Delayed,2.89,2.66,1.37,4.18,-0.32,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_45,Logistics,35008912,12350831,7983372,9523,Compliant,1.17,0.45,2.76,1.06,1.14,13.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_46,Retail,23958350,35212381,11590817,2292,Compliant,2.64,2.2,0.32,4.47,25.86,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_47,Manufacturing,18131232,33935574,8127747,1538,Compliant,1.49,0.96,0.52,2.35,15.45,93.0,Low Risk,Eligible for growth investment or working capital loan
SME_48,E-commerce,5847417,32786345,13829625,3408,Delayed,1.97,2.33,0.24,3.42,19.23,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_49,Retail,9753517,14007851,17017184,8752,Compliant,0.52,2.22,2.3,2.54,26.72,99.0,Low Risk,Eligible for growth investment or working capital loan
SME_50,E-commerce,32199263,11760589,2592536,18287,Delayed,0.88,0.22,2.74,0.56,26.47,49.0,Medium Risk,Optimize working capital and control operational costs
SME_51,Agriculture,39864133,39492598,11364243,174,Compliant,3.36,1.63,0.37,1.52,19.56,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_52,Manufacturing,13871172,29524900,5504381,2230,Non-Compliant,3.15,0.59,3.27,4.92,-2.09,90.0,Low Risk,Eligible for growth investment or working capital loan
SME_53,Manufacturing,26716317,28887589,17296381,4287,Non-Compliant,2.39,2.63,1.11,4.81,23.73,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_54,Retail,44048158,34342508,3878363,12112,Non-Compliant,1.77,2.64,3.11,1.67,-1.85,43.0,Medium Risk,Optimize working capital and control operational costs
SME_55,Manufacturing,35470444,16048245,17804773,7106,Non-Compliant,2.46,1.37,4.42,4.98,19.72,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_56,Logistics,6252810,33923310,7435697,9689,Delayed,2.28,1.44,3.14,4.24,17.42,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_57,Manufacturing,1071650,5940070,5898885,12046,Compliant,2.12,1.05,3.99,3.09,20.36,89.0,Low Risk,Eligible for growth investment or working capital loan
SME_58,E-commerce,21753792,27764435,7601723,19555,Non-Compliant,0.49,2.21,4.27,0.3,11.31,14.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_59,E-commerce,42828965,6891878,7946155,17951,Delayed,2.32,1.2,2.24,4.52,15.55,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_60,E-commerce,36918225,31641029,15850872,1151,Non-Compliant,2.76,0.95,3.19,2.83,28.13,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_61,E-commerce,5409047,2360826,10384778,7619,Non-Compliant,3.48,1.41,3.85,4.36,-5.96,81.0,Low Risk,Eligible for growth investment or working capital loan
SME_62,Logistics,40935721,3244664,12277185,6033,Delayed,0.34,0.46,1.67,4.19,2.35,61.0,Medium Risk,Optimize working capital and control operational costs
SME_63,Services,7922212,36567707,5688238,8560,Delayed,2.64,2.29,1.25,4.18,14.45,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_64,Agriculture,4257974,35332801,13874539,4946,Compliant,2.13,0.24,4.27,3.52,28.56,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_65,Retail,9291689,2490212,6703560,1907,Compliant,1.69,2.0,3.3,1.53,-6.18,23.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_66,E-commerce,24488395,39185284,18562775,3490,Non-Compliant,0.71,0.71,1.07,1.75,-9.1,15.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_67,Manufacturing,42821932,44585024,8697057,18919,Non-Compliant,1.61,0.85,2.08,1.61,-7.77,20.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_68,E-commerce,42346355,34107431,533634,4173,Compliant,1.43,1.98,3.6,0.2,-7.9,0.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_69,Manufacturing,20431456,21720139,8578845,11065,Compliant,1.27,2.98,2.51,2.95,26.31,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_70,Agriculture,41850756,25627191,8102873,17677,Delayed,2.64,2.38,2.96,3.52,18.85,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_71,Agriculture,12143208,26319139,9244655,4769,Compliant,2.54,0.83,3.42,4.28,17.08,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_72,Agriculture,44428336,5000108,4623636,4796,Compliant,2.18,0.69,2.84,0.79,10.9,45.0,Medium Risk,Optimize working capital and control operational costs
SME_73,Manufacturing,31943720,11793942,15325339,13046,Non-Compliant,3.3,2.63,2.48,2.77,21.28,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_74,E-commerce,8612074,3254190,5334233,14211,Compliant,1.42,1.44,3.4,0.14,-3.77,0.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_75,Agriculture,19467438,1684382,1406368,19356,Non-Compliant,1.08,0.58,3.3,0.57,5.68,9.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_76,Logistics,12638391,7596042,5785267,4997,Compliant,2.4,2.61,2.87,0.37,9.6,58.0,Medium Risk,Optimize working capital and control operational costs
SME_77,Manufacturing,24512790,37807753,18001960,17376,Delayed,0.94,2.49,1.68,3.65,-5.58,66.0,Medium Risk,Optimize working capital and control operational costs
SME_78,Manufacturing,22482813,19832053,16150865,8112,Compliant,1.31,2.95,1.89,0.5,6.78,51.0,Medium Risk,Optimize working capital and control operational costs
SME_79,E-commerce,33374288,12272847,18908234,5287,Compliant,1.02,2.75,4.37,3.61,2.66,59.0,Medium Risk,Optimize working capital and control operational costs
SME_80,Manufacturing,30467940,18219593,11639736,10578,Compliant,0.52,2.59,0.59,1.32,-8.58,30.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_81,Manufacturing,11213405,38531465,16067759,18624,Non-Compliant,2.95,0.35,1.28,4.4,-4.53,92.0,Low Risk,Eligible for growth investment or working capital loan
SME_82,Agriculture,10242257,3657181,3489429,17860,Delayed,1.11,0.49,2.27,4.08,20.56,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_83,E-commerce,48015508,22439912,15866128,6426,Compliant,1.81,1.79,3.78,4.79,-9.28,61.0,Medium Risk,Optimize working capital and control operational costs
SME_84,Agriculture,28651242,39108480,6478443,11599,Non-Compliant,0.44,1.69,0.82,4.43,27.37,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_85,Agriculture,4109736,42316167,10897034,389,Delayed,2.54,1.48,1.32,4.67,-6.54,97.0,Low Risk,Eligible for growth investment or working capital loan
SME_86,E-commerce,8560833,33771818,10919694,999,Non-Compliant,1.36,1.31,0.39,4.31,21.97,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_87,Retail,40692587,16086144,17071962,12812,Non-Compliant,2.68,1.41,3.21,3.5,25.94,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_88,Agriculture,18661634,11256760,5710754,15599,Delayed,1.62,1.79,1.15,0.93,27.65,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_89,Logistics,17663810,19120027,5432019,1855,Compliant,0.93,0.21,1.81,1.43,24.7,69.0,Medium Risk,Optimize working capital and control operational costs
SME_90,Logistics,20146976,23684856,18479375,8125,Non-Compliant,1.94,0.93,2.05,1.14,1.5,38.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_91,Manufacturing,29472327,9105956,10392034,13794,Non-Compliant,0.72,1.65,4.02,3.06,3.32,40.0,Medium Risk,Optimize working capital and control operational costs
SME_92,Logistics,12725855,32846436,16394487,2763,Compliant,1.71,2.22,1.91,2.57,7.06,81.0,Low Risk,Eligible for growth investment or working capital loan
SME_93,Manufacturing,5738331,10114891,8512558,4986,Compliant,1.32,0.69,0.74,4.35,-4.43,76.0,Low Risk,Eligible for growth investment or working capital loan
SME_94,Retail,1635964,25658148,12912550,1481,Delayed,3.22,1.73,2.41,4.77,-9.11,95.0,Low Risk,Eligible for growth investment or working capital loan
